reasoner_type,train_seed,num_vars,embed_dim,num_attack_tokens,raw_state_acc,adv_ns1_state_acc,adv_ns2_state_acc,adv_ns3_state_acc,adv_ns1_atk_wts,adv_ns2_atk_wts,adv_ns3_atk_wts
theory,601,16,32,16,1.0,1.0,1.0,1.0,0.8000010251998901,0.8000010251998901,0.727272093296051
theory,601,16,32,17,1.0,1.0,1.0,1.0,0.8095244765281677,0.8095244765281677,0.7391300797462463
learned,601,64,128,2,0.993896484375,0.0,0.0,0.0,0.12170089781284332,0.1111353263258934,0.1435876488685608
learned,601,64,128,3,0.9931640625,0.0,0.0,0.0,0.18007853627204895,0.18591415882110596,0.17099903523921967
learned,601,64,128,4,0.995849609375,0.026611328125,0.026611328125,0.026611328125,0.23194429278373718,0.2465381622314453,0.19986483454704285
learned,601,64,128,5,0.9931640625,0.231689453125,0.230224609375,0.22900390625,0.2779833972454071,0.2706523835659027,0.23242422938346863
learned,601,64,128,6,0.99560546875,0.72998046875,0.72607421875,0.72216796875,0.32076647877693176,0.2333773523569107,0.2629859447479248
learned,601,64,128,7,0.99560546875,0.978515625,0.974365234375,0.969970703125,0.35831740498542786,0.22153104841709137,0.29331153631210327
learned,601,64,128,8,0.99365234375,0.970947265625,0.966552734375,0.962890625,0.39167991280555725,0.24853423237800598,0.3241194188594818
learned,601,64,128,9,0.993408203125,0.964599609375,0.96142578125,0.95654296875,0.42303359508514404,0.2732110917568207,0.3536083400249481
learned,601,64,128,10,0.995849609375,0.9326171875,0.93017578125,0.924560546875,0.45082107186317444,0.301509290933609,0.3830527067184448
learned,601,64,128,11,0.994384765625,0.869140625,0.865966796875,0.862060546875,0.4776262640953064,0.3386554419994354,0.41956740617752075
learned,601,64,128,12,0.995361328125,0.84033203125,0.837158203125,0.834716796875,0.5026870369911194,0.36426857113838196,0.44584280252456665
learned,601,64,128,13,0.9951171875,0.8037109375,0.8017578125,0.7998046875,0.5245835185050964,0.39160335063934326,0.469860702753067
learned,601,64,128,14,0.994873046875,0.7470703125,0.74560546875,0.744140625,0.5463261008262634,0.420922189950943,0.49631962180137634
learned,601,64,128,15,0.994873046875,0.7099609375,0.70849609375,0.707763671875,0.5658089518547058,0.4441194534301758,0.5164482593536377
learned,601,64,128,16,0.996337890625,0.647705078125,0.647705078125,0.64697265625,0.5841009616851807,0.4728122353553772,0.5394716262817383
learned,601,64,128,17,0.99658203125,0.550537109375,0.550048828125,0.550048828125,0.602874219417572,0.49968668818473816,0.5586928725242615
learned,601,48,96,2,0.989990234375,0.0,0.0,0.0,0.12794722616672516,0.15953026711940765,0.1748235821723938
learned,601,48,96,3,0.99365234375,0.0,0.0,0.0,0.18715398013591766,0.26228684186935425,0.20969122648239136
learned,601,48,96,4,0.992919921875,0.0,0.0,0.0,0.24052460491657257,0.34430813789367676,0.2598043978214264
learned,601,48,96,5,0.991943359375,0.153076171875,0.152587890625,0.152099609375,0.2863660156726837,0.38188856840133667,0.30988365411758423
learned,601,48,96,6,0.9912109375,0.62353515625,0.619384765625,0.61572265625,0.3275204002857208,0.3426039218902588,0.35312968492507935
