num_samples,reasoner_type,train_seed,num_vars,embed_dim,num_copies,variance,variance_std
1024,learned,601,64,128,1,0.015255613252520561,0.0008317870669998229
1024,learned,601,64,128,2,0.011196669191122055,0.0012918990105390549
1024,learned,601,64,128,3,0.00908053107559681,0.001260537188500166
1024,learned,601,64,128,4,0.007772890850901604,0.0010571542661637068
1024,learned,601,64,128,5,0.0067863790318369865,0.0013659631367772818
1024,learned,601,64,128,6,0.005969317629933357,0.0011403985554352403
1024,learned,601,64,128,7,0.005345894023776054,0.0012430164497345686
1024,learned,601,64,128,8,0.004738352261483669,0.0010945805115625262
1024,learned,601,64,128,9,0.004400474950671196,0.001399339409545064
1024,learned,601,64,128,10,0.004064447246491909,0.0013755548279732466
1024,learned,601,64,128,11,0.0036598658189177513,0.0013287973124533892
1024,learned,601,64,128,12,0.003411879064515233,0.0012333831982687116
1024,learned,601,64,128,13,0.0031461878679692745,0.0014209606451913714
1024,learned,601,64,128,14,0.0029814757872372866,0.0015491103986278176
1024,learned,601,64,128,15,0.0027323237154632807,0.00139429303817451
1024,learned,601,64,128,16,0.002549420576542616,0.0012853856896981597
1024,learned,601,64,128,17,0.0023663993924856186,0.0011686328798532486
1024,learned,601,64,128,18,0.0022395681589841843,0.0011295236181467772
1024,learned,601,64,128,19,0.002179710892960429,0.0014619617722928524
1024,learned,601,64,128,20,0.0020777685567736626,0.0012679792707785964
1024,learned,601,48,96,1,0.009423996321856976,0.0006430077482946217
1024,learned,601,48,96,2,0.0048686303198337555,0.0005363583914004266
1024,learned,601,48,96,3,0.002817342057824135,0.000469544786028564
1024,learned,601,48,96,4,0.0017600158462300897,0.00039485874003730714
1024,learned,601,48,96,5,0.0011642136378213763,0.00036208381061442196
1024,learned,601,48,96,6,0.0008147090557031333,0.0003314075875096023
1024,learned,601,48,96,7,0.0005483719287440181,0.00027684049564413726
1024,learned,601,48,96,8,0.00041241859435103834,0.0003051369567401707
1024,learned,601,48,96,9,0.0002870367607101798,0.0002458690432831645
1024,learned,601,48,96,10,0.00021618540631607175,0.00023972474446054548
1024,learned,601,48,96,11,0.00017181108705699444,0.00023387155670206994
1024,learned,601,48,96,12,0.00013410465908236802,0.0002124962193192914
1024,learned,601,48,96,13,0.0001136094142566435,0.00021969183580949903
1024,learned,601,48,96,14,9.115228749578819e-05,0.00021463677694555372
1024,learned,601,48,96,15,8.752068970352411e-05,0.00026204975438304245
1024,learned,601,48,96,16,8.799615898169577e-05,0.00027449772460386157
1024,learned,601,48,96,17,7.782824104651809e-05,0.00027979098376818
1024,learned,601,48,96,18,5.6802440667524934e-05,0.00019153731409460306
1024,learned,601,48,96,19,5.433677870314568e-05,0.0002277591120218858
1024,learned,601,48,96,20,4.9112026317743585e-05,0.00021280886721797287
1024,learned,601,32,64,1,0.0052424827590584755,0.0014352331636473536
1024,learned,601,32,64,2,0.0023691740352660418,0.0009497221326455474
1024,learned,601,32,64,3,0.00086181954247877,0.0008018631488084793
1024,learned,601,32,64,4,0.00030286720721051097,0.0005669483216479421
1024,learned,601,32,64,5,0.0001250962377525866,0.00036913505755364895
1024,learned,601,32,64,6,6.656630284851417e-05,0.00035230893990956247
1024,learned,601,32,64,7,4.607198206940666e-05,0.0003536441654432565
1024,learned,601,32,64,8,3.5792570997728035e-05,0.0003153987636324018
1024,learned,601,32,64,9,4.009425174444914e-05,0.0004046126559842378
1024,learned,601,32,64,10,2.394520561210811e-05,0.00024817403755150735
1024,learned,601,32,64,11,5.1317500037839636e-05,0.00044281737064011395
1024,learned,601,32,64,12,3.561232006177306e-05,0.00033103470923379064
1024,learned,601,32,64,13,2.324853267055005e-05,0.0002522566355764866
1024,learned,601,32,64,14,3.648204801720567e-05,0.000434612826211378
1024,learned,601,32,64,15,3.2641339203109965e-05,0.00038850202690809965
1024,learned,601,32,64,16,1.7618091078475118e-05,0.00024392349587287754
1024,learned,601,32,64,17,3.256719355704263e-05,0.00034142829827032983
1024,learned,601,32,64,18,1.944880568771623e-05,0.00020697897707577795
1024,learned,601,32,64,19,1.7143820514320396e-05,0.00022590183652937412
1024,learned,601,32,64,20,1.4150213246466592e-05,0.00020859562209807336
1024,learned,601,16,32,1,0.016415392979979515,0.004340619780123234
1024,learned,601,16,32,2,0.01103178970515728,0.004974320996552706
1024,learned,601,16,32,3,0.007290041074156761,0.004306217189878225
1024,learned,601,16,32,4,0.0052233184687793255,0.004800722002983093
1024,learned,601,16,32,5,0.004252293612807989,0.004840285051614046
1024,learned,601,16,32,6,0.0030817342922091484,0.004407133441418409
1024,learned,601,16,32,7,0.002752430271357298,0.004195606801658869
1024,learned,601,16,32,8,0.0024778516963124275,0.004405921790748835
1024,learned,601,16,32,9,0.00198762072250247,0.003817718243226409
1024,learned,601,16,32,10,0.0017772538121789694,0.003602501703426242
1024,learned,601,16,32,11,0.0016748891212046146,0.0035531772300601006
1024,learned,601,16,32,12,0.0014602176379412413,0.003291673492640257
1024,learned,601,16,32,13,0.0014525942970067263,0.003211344825103879
1024,learned,601,16,32,14,0.001293302047997713,0.002932791132479906
1024,learned,601,16,32,15,0.0012059392174705863,0.002830412471666932
1024,learned,601,16,32,16,0.001280949218198657,0.003011096501722932
1024,learned,601,16,32,17,0.0010543970856815577,0.002699916483834386
1024,learned,601,16,32,18,0.0011714785359799862,0.0028136202599853277
1024,learned,601,16,32,19,0.001212626346386969,0.0030329995788633823
1024,learned,601,16,32,20,0.0008704399224370718,0.002179316710680723
