num_samples,reasoner_type,train_seed,num_vars,embed_dim,num_attack_tokens,raw_state_acc,adv_ns1_state_acc,adv_ns2_state_acc,adv_ns3_state_acc,adv_ns1_atk_wts,adv_ns2_atk_wts,adv_ns3_atk_wts
4096,theory,601,64,128,2,1.0,1.0,0.04296875,0.04296875,0.3333331048488617,0.3274422287940979,0.2482520043849945
4096,theory,601,64,128,4,1.0,1.0,0.049072265625,0.049072265625,0.5,0.3345899283885956,0.39758986234664917
4096,theory,601,64,128,6,1.0,1.0,0.048828125,0.048828125,0.599999189376831,0.3397539556026459,0.4975552558898926
4096,theory,601,64,128,8,1.0,1.0,0.047607421875,0.047607421875,0.6666662096977234,0.3423837423324585,0.5686641335487366
4096,theory,601,64,128,10,1.0,1.0,0.047607421875,0.047607421875,0.7142862677574158,0.34531891345977783,0.6226129531860352
4096,theory,601,64,128,12,1.0,1.0,0.04345703125,0.04345703125,0.75,0.34503406286239624,0.6639482378959656
4096,theory,601,64,128,14,1.0,1.0,0.050537109375,0.050537109375,0.7777785658836365,0.34942686557769775,0.6977152824401855
4096,theory,601,64,128,16,1.0,1.0,0.04931640625,0.04931640625,0.8000010251998901,0.3502976596355438,0.7249915599822998
4096,theory,601,48,96,2,1.0,1.0,0.057373046875,0.057373046875,0.3333331048488617,0.3244384229183197,0.24717870354652405
4096,theory,601,48,96,4,1.0,1.0,0.060791015625,0.060791015625,0.5,0.33372050523757935,0.39599594473838806
4096,theory,601,48,96,6,1.0,1.0,0.060546875,0.060546875,0.599999189376831,0.3399415910243988,0.4958142638206482
4096,theory,601,48,96,8,1.0,1.0,0.060302734375,0.060302734375,0.6666662096977234,0.3442405164241791,0.5673562288284302
4096,theory,601,48,96,10,1.0,1.0,0.06298828125,0.06298828125,0.7142862677574158,0.34798499941825867,0.6208063960075378
4096,theory,601,48,96,12,1.0,1.0,0.06103515625,0.06103515625,0.75,0.3489130437374115,0.6622611284255981
4096,theory,601,48,96,14,1.0,1.0,0.06640625,0.06640625,0.7777785658836365,0.3538036346435547,0.6962277889251709
