num_samples,reasoner_type,train_seed,num_vars,embed_dim,num_attack_tokens,raw_state_acc,adv_ns1_state_acc,adv_ns2_state_acc,adv_ns3_state_acc,adv_ns1_atk_wts,adv_ns2_atk_wts,adv_ns3_atk_wts,adv_ns1_atk_wts_std,adv_ns2_atk_wts_std,adv_ns3_atk_wts_std,adv_ns1_suppd_wts,adv_ns2_suppd_wts,adv_ns3_suppd_wts,adv_ns1_other_wts,adv_ns2_other_wts,adv_ns3_other_wts,adv_ns1_suppd_wts_std,adv_ns2_suppd_wts_std,adv_ns3_suppd_wts_std,adv_ns1_other_wts_std,adv_ns2_other_wts_std,adv_ns3_other_wts_std
16384,learned,601,64,128,2,0.9964193105697632,0.999755859375,0.0,0.0,0.044652752578258514,0.06560758501291275,0.10936427116394043,0.009101439267396927,0.04675481095910072,0.07958371937274933,0.021450325846672058,0.25301986932754517,0.07035437226295471,0.02146006189286709,0.2530798017978668,0.07037921249866486,0.0044237528927624226,0.023242466151714325,0.009005781263113022,0.0044563207775354385,0.02329970896244049,0.00907488726079464
16384,learned,601,64,128,3,0.9971923828125,0.9998779296875,0.00787353515625,0.00213623046875,0.040688976645469666,0.07287688553333282,0.11402922123670578,0.00845180731266737,0.03989269211888313,0.06326693296432495,0.02083314023911953,0.2294250875711441,0.060918401926755905,0.02078813500702381,0.2297794371843338,0.060016829520463943,0.004279790446162224,0.020974107086658478,0.013597196899354458,0.004262268077582121,0.020802821964025497,0.007758060470223427
16384,learned,601,64,128,4,0.9967855215072632,0.9998779296875,0.329833984375,0.1922607421875,0.03813570737838745,0.07277199625968933,0.0997094064950943,0.0076839253306388855,0.03355124592781067,0.04675208404660225,0.020136050879955292,0.20968537032604218,0.10186867415904999,0.020155522972345352,0.20984236896038055,0.05494779720902443,0.004109836183488369,0.019570712000131607,0.06871794164180756,0.0041024512611329556,0.019385498017072678,0.007247581146657467
16384,learned,601,64,128,5,0.99713134765625,0.99981689453125,0.88525390625,0.73822021484375,0.036341216415166855,0.07058224827051163,0.08028668910264969,0.007018351461738348,0.028641680255532265,0.031595051288604736,0.019569458439946175,0.19323143362998962,0.1789819300174713,0.01954970508813858,0.1933167278766632,0.0547199547290802,0.003961669281125069,0.018494637683033943,0.04908455163240433,0.003951347433030605,0.018483895808458328,0.006927554961293936
16384,learned,601,64,128,6,0.996826171875,0.9998779296875,0.994384765625,0.94219970703125,0.03481096029281616,0.06747263669967651,0.07350043207406998,0.006458032876253128,0.024701567366719246,0.02546214684844017,0.018968693912029266,0.17902861535549164,0.18211659789085388,0.019018320366740227,0.17931711673736572,0.05142742767930031,0.0038673183880746365,0.017601916566491127,0.022259624674916267,0.0038262922316789627,0.017395254224538803,0.006257792003452778
16384,learned,601,64,128,7,0.99749755859375,1.0,0.9993896484375,0.972900390625,0.03349105641245842,0.06427347660064697,0.06944097578525543,0.005953996907919645,0.02158888801932335,0.02206502854824066,0.018388953059911728,0.16740953922271729,0.1702747493982315,0.018445901572704315,0.16722795367240906,0.04783125966787338,0.003670384408906102,0.017099222168326378,0.019819902256131172,0.0037157137412577868,0.016600823029875755,0.005922912620007992
16384,learned,601,64,128,8,0.9974365234375,1.0,0.9998779296875,0.98699951171875,0.03234650194644928,0.06112949550151825,0.06567754596471786,0.005535172298550606,0.019072597846388817,0.019397908821702003,0.017973631620407104,0.15666934847831726,0.1586083173751831,0.01794307678937912,0.15660083293914795,0.044583532959222794,0.003583324607461691,0.016259098425507545,0.018684664741158485,0.0035584864672273397,0.015972333028912544,0.005631054751574993
16384,learned,601,64,128,9,0.9973348379135132,0.99993896484375,0.99993896484375,0.99237060546875,0.03129374235868454,0.05817523971199989,0.06221768632531166,0.00517964968457818,0.017007581889629364,0.01721549965441227,0.017430884763598442,0.14749673008918762,0.14886850118637085,0.01744711771607399,0.14737820625305176,0.04181947186589241,0.003473037388175726,0.015473484992980957,0.017720846459269524,0.0034650296438485384,0.015451406128704548,0.005356921814382076
16384,learned,601,64,128,10,0.997314453125,1.0,0.99957275390625,0.99615478515625,0.030335111543536186,0.05545710399746895,0.059097856283187866,0.0048501151613891125,0.015303951688110828,0.01544198952615261,0.01696113869547844,0.13921228051185608,0.139945849776268,0.0169708039611578,0.1392594873905182,0.0393502451479435,0.0033773700706660748,0.015034272335469723,0.01709832064807415,0.0033784694969654083,0.01492618303745985,0.005205775145441294
16384,learned,601,64,128,11,0.9977010488510132,1.0,0.99847412109375,0.99530029296875,0.029444292187690735,0.05289601907134056,0.0561547614634037,0.0045612831600010395,0.01386197842657566,0.013926669955253601,0.016510702669620514,0.1317242681980133,0.1320406198501587,0.016543522477149963,0.13171285390853882,0.03720109164714813,0.0032775597646832466,0.014477933757007122,0.01652475632727146,0.00328090600669384,0.014460617676377296,0.005218120291829109
16384,learned,601,64,128,12,0.9973348379135132,0.999755859375,0.99359130859375,0.990234375,0.0286343302577734,0.0505678653717041,0.05353137105703354,0.004286592826247215,0.012646357528865337,0.012682768516242504,0.016155701130628586,0.12519986927509308,0.12493126839399338,0.01610371097922325,0.12504801154136658,0.03533367067575455,0.0032203670125454664,0.014298329129815102,0.016995994374155998,0.0031795124523341656,0.013964533805847168,0.005662398412823677
16384,learned,601,64,128,13,0.9978841543197632,0.99871826171875,0.98486328125,0.98028564453125,0.027808822691440582,0.0483865849673748,0.05109284073114395,0.004059674218297005,0.011591325514018536,0.011615249328315258,0.01577201671898365,0.11907254159450531,0.11831910908222198,0.015772230923175812,0.11906394362449646,0.0338268056511879,0.0031487883534282446,0.01411338523030281,0.0176776722073555,0.0031407857313752174,0.013621468096971512,0.006657995283603668
16384,learned,601,64,128,14,0.9976400136947632,0.99334716796875,0.963623046875,0.958251953125,0.027140986174345016,0.04646170511841774,0.048955824226140976,0.0038464125245809555,0.010709688067436218,0.010719955898821354,0.01539689116179943,0.11304958164691925,0.11160589754581451,0.01540551520884037,0.11340528726577759,0.032865509390830994,0.0030364268459379673,0.015046760439872742,0.018945980817079544,0.003013766836374998,0.013335248455405235,0.009008465334773064
16384,learned,601,64,128,15,0.9978231191635132,0.98858642578125,0.93780517578125,0.93218994140625,0.02644580602645874,0.044633228331804276,0.0469040684401989,0.0036598213482648134,0.009933564811944962,0.009939641691744328,0.015025559812784195,0.10771767795085907,0.10581062734127045,0.015033431351184845,0.10836776345968246,0.032513298094272614,0.0029830688145011663,0.015766749158501625,0.020445525646209717,0.0029678172431886196,0.01321819145232439,0.011531633324921131
16384,learned,601,64,128,16,0.9981282949447632,0.9765625,0.90008544921875,0.89385986328125,0.025817036628723145,0.0429680198431015,0.04497356712818146,0.0034850670490413904,0.009282415732741356,0.009240647777915001,0.014687472023069859,0.10236449539661407,0.10035407543182373,0.014687118120491505,0.10332374274730682,0.03306768089532852,0.0028915456496179104,0.017802078276872635,0.021611807867884636,0.0028676288202404976,0.013327200897037983,0.014888889156281948
16384,learned,601,64,128,17,0.9980672597885132,0.9638671875,0.85009765625,0.845458984375,0.0251921433955431,0.0414385050535202,0.04324467480182648,0.0033003322314471006,0.008698445744812489,0.00864423904567957,0.014377754181623459,0.09733755886554718,0.09497468918561935,0.014359449967741966,0.09890507161617279,0.034306298941373825,0.0028238396625965834,0.01935267262160778,0.022902967408299446,0.002791417296975851,0.013454161584377289,0.017830347642302513
16384,learned,601,48,96,2,0.99542236328125,0.9998779296875,0.0,0.0,0.0457160584628582,0.07913121581077576,0.12205640971660614,0.012807144783437252,0.05966303125023842,0.09192024916410446,0.01783762499690056,0.23613110184669495,0.06369596719741821,0.017857272177934647,0.23616908490657806,0.06371743977069855,0.0040766033343970776,0.021777082234621048,0.007998191751539707,0.004072824493050575,0.02191329002380371,0.008105219341814518
16384,learned,601,48,96,3,0.9955648183822632,0.99993896484375,0.06146240234375,0.030517578125,0.040542155504226685,0.08688466250896454,0.12412046641111374,0.011709489859640598,0.04977218061685562,0.07067146897315979,0.01732654869556427,0.20930519700050354,0.061438560485839844,0.017343804240226746,0.2095206081867218,0.05349137634038925,0.003947749268263578,0.01976277492940426,0.031690068542957306,0.003931276500225067,0.019693953916430473,0.006715008988976479
16384,learned,601,48,96,4,0.9962972402572632,0.9998779296875,0.69256591796875,0.54779052734375,0.03751615434885025,0.08573713898658752,0.10100869834423065,0.010562913492321968,0.04117325693368912,0.04723123833537102,0.01688932441174984,0.1881444752216339,0.14257802069187164,0.01687677577137947,0.18811281025409698,0.05071936547756195,0.003778639482334256,0.01842641644179821,0.06352610141038895,0.003774097887799144,0.01848011463880539,0.006395530421286821
