reasoner_type,reasoner_seed,attacker_seed,num_vars,embed_dim,num_attack_tokens,raw_state_acc,adv_ns0_state_acc,adv_ns1_state_acc,adv_ns2_state_acc,adv_ns3_state_acc,adv_ns1_atk_wts,adv_ns2_atk_wts,adv_ns3_atk_wts,adv_ns1_atk_wts_std,adv_ns2_atk_wts_std,adv_ns3_atk_wts_std,adv_suffix_avg_mags,raw_tokens_avg_mags,adv_suffix_avg_mags_std,raw_tokens_avg_mags_std
learned,601,701,64,128,2,0.99346923828125,0.0,0.87103271484375,0.8365478515625,0.76434326171875,0.1879158616065979,0.399988055229187,0.3170996308326721,0.199904128909111,0.3896164000034332,0.3075076639652252,3.892886877059937,0.0460918769240379,0.3158428966999054,0.0029286739882081
learned,601,701,48,96,2,0.99041748046875,0.0,0.87567138671875,0.855224609375,0.736572265625,0.2769824862480163,0.4040101766586303,0.3316041827201843,0.2883946895599365,0.3944620192050934,0.3273852169513702,1.451034665107727,0.0613737218081951,0.1730900555849075,0.0038767156656831
learned,601,701,32,64,2,0.9869384765625,0.0,0.86529541015625,0.8570556640625,0.77294921875,0.1797804534435272,0.4093742966651916,0.302825927734375,0.2000676393508911,0.4044631719589233,0.3011934459209442,1.726643443107605,0.0916230604052543,0.2224684208631515,0.0057127005420625
learned,601,701,16,32,2,0.96875,0.0,0.77313232421875,0.74420166015625,0.57080078125,0.16691701114177704,0.3365934193134308,0.255955308675766,0.18694759905338287,0.33191168308258057,0.26061415672302246,2.0105135440826416,0.18094277381896973,0.5214506387710571,0.010679990984499454
