num_samples,reasoner_type,train_seed,num_vars,embed_dim,num_attack_tokens,raw_state_acc,adv_ns1_state_acc,adv_ns2_state_acc,adv_ns3_state_acc,adv_ns1_atk_wts,adv_ns2_atk_wts,adv_ns3_atk_wts,adv_ns1_atk_wts_std,adv_ns2_atk_wts_std,adv_ns3_atk_wts_std
16384,learned,601,64,128,2,0.9970906972885132,0.0,0.0,0.0,0.06050474941730499,0.05513370782136917,0.07118791341781616,0.013330405578017235,0.03654104843735695,0.039204586297273636
16384,learned,601,64,128,3,0.9970499873161316,0.0,0.0,0.0,0.05972680076956749,0.06123679131269455,0.05676157772541046,0.012213757261633873,0.03196849673986435,0.02078254520893097
16384,learned,601,64,128,4,0.9974161982536316,0.02691650390625,0.0267333984375,0.02642822265625,0.05770585313439369,0.061113957315683365,0.04924173653125763,0.010951683856546879,0.027501629665493965,0.017856502905488014
16384,learned,601,64,128,5,0.9967448115348816,0.2457275390625,0.2440185546875,0.24224853515625,0.05554668977856636,0.05339561775326729,0.045893345028162,0.00986855011433363,0.02381148748099804,0.016131119802594185
16384,learned,601,64,128,6,0.9978231191635132,0.716796875,0.714111328125,0.71002197265625,0.05308971926569939,0.038950540125370026,0.04350791871547699,0.008830252103507519,0.01684398762881756,0.014649835415184498
16384,learned,601,64,128,7,0.9969279170036316,0.97412109375,0.96893310546875,0.9622802734375,0.05088000372052193,0.031475987285375595,0.04149104282259941,0.00798710435628891,0.008656205609440804,0.013390197418630123
16384,learned,601,64,128,8,0.99755859375,0.9688720703125,0.96429443359375,0.9595947265625,0.048777513206005096,0.03086305409669876,0.040157511830329895,0.007273263297975063,0.008978264406323433,0.013017987832427025
16384,learned,601,64,128,9,0.9977010488510132,0.96624755859375,0.962646484375,0.95855712890625,0.046783819794654846,0.030066056177020073,0.03893924131989479,0.006636764854192734,0.008411495946347713,0.012179099954664707
16384,learned,601,64,128,10,0.9975179433822632,0.93048095703125,0.92706298828125,0.9227294921875,0.044996071606874466,0.029948865994811058,0.03807143121957779,0.00612949812784791,0.009060044772922993,0.011997207067906857
16384,learned,601,64,128,11,0.99774169921875,0.8642578125,0.862060546875,0.85821533203125,0.043267831206321716,0.030564021319150925,0.0377071388065815,0.0056278156116604805,0.010150144807994366,0.011821993626654148
16384,learned,601,64,128,12,0.9976806640625,0.835205078125,0.83367919921875,0.8319091796875,0.041675157845020294,0.030193205922842026,0.03686891496181488,0.005229510832577944,0.009988452307879925,0.011263102293014526
16384,learned,601,64,128,13,0.9974772334098816,0.79925537109375,0.79681396484375,0.79461669921875,0.040201086550951004,0.029924793168902397,0.03589865565299988,0.004829229321330786,0.009703475050628185,0.010525164194405079
16384,learned,601,64,128,14,0.99786376953125,0.75665283203125,0.755859375,0.75494384765625,0.03886707127094269,0.029711291193962097,0.03505808115005493,0.004523432347923517,0.009477871470153332,0.009957601316273212
16384,learned,601,64,128,15,0.9976603388786316,0.707763671875,0.7069091796875,0.706298828125,0.037598803639411926,0.029395800083875656,0.03420254588127136,0.004231210332363844,0.009108577854931355,0.009343867190182209
16384,learned,601,64,128,16,0.9978434443473816,0.6436767578125,0.64324951171875,0.64263916015625,0.03643190860748291,0.029210569337010384,0.03337092697620392,0.00399368442595005,0.0086549436673522,0.008683757856488228
16384,learned,601,64,128,17,0.99774169921875,0.5621337890625,0.561767578125,0.56146240234375,0.035272739827632904,0.029059670865535736,0.03253946080803871,0.003720545908436179,0.008144477382302284,0.008075831457972527
16384,learned,601,48,96,2,0.9952392578125,0.0,0.0,0.0,0.06358139216899872,0.07910694926977158,0.08640484511852264,0.011635612696409225,0.06107500568032265,0.04812605679035187
16384,learned,601,48,96,3,0.9960123896598816,0.0,0.0,0.0,0.06223229691386223,0.08697667717933655,0.0692301020026207,0.010766331106424332,0.05116600915789604,0.014241584576666355
16384,learned,601,48,96,4,0.99542236328125,6.103515625e-05,6.103515625e-05,6.103515625e-05,0.05971406772732735,0.08543835580348969,0.06421878188848495,0.009599526412785053,0.042094577103853226,0.013267849572002888
16384,learned,601,48,96,5,0.9958089590072632,0.1531982421875,0.15264892578125,0.15179443359375,0.0570949912071228,0.07601317018270493,0.0612771175801754,0.00864079687744379,0.03467303141951561,0.015720659866929054
16384,learned,601,48,96,6,0.9955648183822632,0.63311767578125,0.62823486328125,0.623779296875,0.05447542294859886,0.05654226988554001,0.05841397866606712,0.007716153748333454,0.024191007018089294,0.014165657572448254
16384,learned,601,48,96,7,0.9955851435661316,0.93658447265625,0.92010498046875,0.90411376953125,0.051998890936374664,0.04495873674750328,0.05454936996102333,0.006962853483855724,0.011159432120621204,0.01074063591659069
16384,learned,601,48,96,8,0.9963582754135132,0.9993896484375,0.94970703125,0.91943359375,0.04977001994848251,0.041773416101932526,0.05256795138120651,0.006314487662166357,0.006148437038064003,0.011356169357895851
16384,learned,601,48,96,9,0.9959310293197632,0.95953369140625,0.861328125,0.81597900390625,0.04771096259355545,0.04143855348229408,0.05204949155449867,0.005776993464678526,0.008460797369480133,0.012993372045457363
16384,learned,601,48,96,10,0.9962362051010132,0.8243408203125,0.7216796875,0.69158935546875,0.04577809199690819,0.04319620877504349,0.05209501460194588,0.0053053488954901695,0.012705503031611443,0.014028416015207767
16384,learned,601,48,96,11,0.99652099609375,0.74163818359375,0.65313720703125,0.6329345703125,0.04396256059408188,0.0432254895567894,0.050839588046073914,0.004862403962761164,0.013013685122132301,0.01324408408254385
