reasoner_type,reasoner_seed,attacker_seed,num_vars,embed_dim,num_attack_tokens,raw_state_acc,adv_ns0_state_acc,adv_ns1_state_acc,adv_ns2_state_acc,adv_ns3_state_acc,adv_ns1_atk_wts,adv_ns2_atk_wts,adv_ns3_atk_wts,adv_suffix_conseq_amnesia_avg,adv_suffix_conseq_others_avg
learned,601,701,64,128,2,0.99249267578125,0.0,0.9998779296875,0.99774169921875,0.99615478515625,0.3029055893421173,0.2154436707496643,0.2520274519920349,0.7696464657783508,0.1120755597949028
learned,601,701,48,96,2,0.99078369140625,0.0,0.999755859375,0.99774169921875,0.99688720703125,0.3261580467224121,0.2245205342769622,0.268055260181427,0.9143038392066956,0.1175697818398475
learned,601,701,32,64,2,0.9876708984375,0.0,0.99969482421875,0.99810791015625,0.99737548828125,0.2815639674663543,0.2181853652000427,0.3209967613220215,0.625043511390686,0.0873968973755836
learned,601,701,16,32,2,0.9697265625,0.0,0.99993896484375,0.9971923828125,0.99542236328125,0.31490060687065125,0.1251119077205658,0.1914404183626175,0.6501098275184631,0.1429729014635086
