reasoner_type,reasoner_seed,attacker_seed,num_vars,embed_dim,num_attack_tokens,raw_state_acc,adv_ns0_state_acc,adv_ns1_state_acc,adv_ns2_state_acc,adv_ns3_state_acc,adv_ns1_atk_wts,adv_ns2_atk_wts,adv_ns3_atk_wts,raw_ns1_suppd_wts,raw_ns2_suppd_wts,raw_ns3_suppd_wts,raw_ns1_other_wts,raw_ns2_other_wts,raw_ns3_other_wts,adv_ns1_suppd_wts,adv_ns2_suppd_wts,adv_ns3_suppd_wts,adv_ns1_other_wts,adv_ns2_other_wts,adv_ns3_other_wts
learned,601,701,64,128,2,0.99249267578125,0.0,0.9996337890625,0.99810791015625,0.99542236328125,0.1475723385810852,0.4364608228206634,0.457099050283432,0.0236570835113525,0.2910042703151703,0.0902118980884552,0.0236626844853162,0.2913170158863067,0.0902439132332801,0.0474646091461181,0.1636831611394882,0.1701935529708862,0.0255536455661058,0.1638466119766235,0.0479554794728755
learned,601,701,48,96,2,0.99078369140625,0.0,0.999755859375,0.9993896484375,0.9979248046875,0.1085260957479476,0.3529379069805145,0.3976057767868042,0.0196585226804018,0.281156837940216,0.0845586359500885,0.0196177680045366,0.2809743881225586,0.0844773203134536,0.0436958186328411,0.1815572530031204,0.1784558147192001,0.022384013980627,0.1814677268266677,0.0496585667133331
learned,601,701,32,64,2,0.9876708984375,0.0,0.9996337890625,0.99951171875,0.99884033203125,0.1195911318063736,0.3818996846675873,0.4262568652629852,0.0179702881723642,0.2713094055652618,0.0810796916484832,0.0179955475032329,0.2713584899902344,0.0811440795660018,0.0342639274895191,0.16725455224514,0.1607843488454818,0.0184003636240959,0.1673250794410705,0.0456738509237766
learned,601,701,16,32,2,0.9697265625,0.0,0.99993896484375,0.999755859375,0.99945068359375,0.09780615568161011,0.4884357750415802,0.5564609169960022,0.016210190951824188,0.2527209222316742,0.07900600135326385,0.0162071343511343,0.25269243121147156,0.07900592684745789,0.01988263428211212,0.1286916434764862,0.1168222427368164,0.023732561618089676,0.12869641184806824,0.034709908068180084
