reasoner_type,reasoner_seed,attacker_seed,num_vars,embed_dim,num_attack_tokens,raw_state_acc,adv_ns0_state_acc,adv_ns1_state_acc,adv_ns2_state_acc,adv_ns3_state_acc,adv_ns1_atk_wts,adv_ns2_atk_wts,adv_ns3_atk_wts,adv_ns1_atk_wts_std,adv_ns2_atk_wts_std,adv_ns3_atk_wts_std,adv_suffix_amnesia_targets,adv_suffix_amnesia_others,adv_suffix_amnesia_targets_std,adv_suffix_amnesia_others_std
learned,601,701,48,96,2,0.99237060546875,0.0,0.999755859375,0.9976806640625,0.996337890625,0.1632339507341385,0.1120681464672088,0.1338025331497192,0.1450794786214828,0.0627496019005775,0.0700057074427604,0.9137389659881592,0.117465928196907,0.0959614440798759,0.0072999941185116
learned,601,701,64,128,2,0.99365234375,0.0,0.99969482421875,0.998291015625,0.99664306640625,0.1512278616428375,0.1076661050319671,0.1259455680847168,0.1368209570646286,0.0540234223008155,0.0561378449201583,0.7717059850692749,0.1121221035718917,0.0734140649437904,0.0046275462955236
learned,601,701,32,64,2,0.98681640625,0.0,0.99945068359375,0.996826171875,0.99639892578125,0.1407036036252975,0.1091764345765113,0.1604835540056228,0.1233829334378242,0.0338928252458572,0.054353442043066,0.6252110600471497,0.0873953700065612,0.0477009117603302,0.0078125400468707
learned,601,701,16,32,2,0.97198486328125,0.0,0.9996337890625,0.9967041015625,0.99432373046875,0.15764732658863068,0.06266041100025177,0.0959998071193695,0.13215363025665283,0.04615083336830139,0.07270399481058121,0.6510130167007446,0.14282560348510742,0.09800590574741364,0.016071001067757607
