reasoner_type,reasoner_seed,attacker_seed,num_vars,embed_dim,num_attack_tokens,raw_state_acc,adv_ns0_state_acc,adv_ns1_state_acc,adv_ns2_state_acc,adv_ns3_state_acc,adv_ns1_atk_wts,adv_ns2_atk_wts,adv_ns3_atk_wts,adv_suffix_size_avg,raw_tokens_size_avg
learned,601,701,64,128,2,0.993896484375,0.0,0.87176513671875,0.834716796875,0.7623291015625,0.3752204477787018,0.7988240122795105,0.6328519582748413,3.9007997512817374,0.0460913553833961
learned,601,701,48,96,2,0.990966796875,0.0,0.87445068359375,0.85302734375,0.7386474609375,0.5542054772377014,0.8070517182350159,0.6632363796234131,1.448828935623169,0.0613426379859447
learned,601,701,32,64,2,0.98828125,0.0,0.86376953125,0.85516357421875,0.7735595703125,0.3573425710201263,0.8186691403388977,0.6055688858032227,1.731669783592224,0.0915604308247566
learned,601,701,16,32,2,0.96954345703125,0.0,0.7685546875,0.7393798828125,0.5582275390625,0.3365485668182373,0.6733604073524475,0.5106806755065918,2.005314826965332,0.1809496134519577
